text,href
"Marketing, MSMK",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7017&returnto=2847
"Marketing Analytics, MSMKA",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7018&returnto=2847
"Physics, MA",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6926&returnto=2847
"Physics, PhD",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6927&returnto=2847
"Project Management, MSPM",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7023&returnto=2847
"Psychology, MA",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6983&returnto=2847
"Psychology, PhD",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6931&returnto=2847
"Public Administration, MPA",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6971&returnto=2847
"Sports and Esports Administration, MSSEA",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7040&returnto=2847
"Sustainable Food Systems, MS",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7055&returnto=2847
"Teaching, MAT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6877&returnto=2847
"Visual Arts, MFA",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7052&returnto=2847
"Business Administration/Accounting, MBA/MSA",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6979&returnto=2847
"Business Administration/Finance, MBA/MSF",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6951&returnto=2847
"Biotechnology Major, BS",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7028&returnto=2847
"Communication Major, BS",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6960&returnto=2847
"Criminal Justice Major, BS",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6965&returnto=2847
"Cybersecurity Major, BS",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7044&returnto=2847
"General Studies Major, BGS",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7048&returnto=2847
"Human Resource Development Major, BS",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6966&returnto=2847
"Public Administration Major, BS",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6967&returnto=2847
"Social Services Major, BS",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6968&returnto=2847
"Youth Work Practice, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6978&returnto=2847
Advanced Application Delivery CERT,https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7045&returnto=2847
"Business Analytics, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7002&returnto=2847
"Digital Literacy, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7030&returnto=2847
